,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
324,WAKEFIELD/241,2,40.903085,-73.850591,MTA,383019.0,5.665784206318597
325,20 AV,D,40.604798,-73.998456,MTA,380106.0,5.656140432709319
326,25 AV,D,40.597873,-73.986955,MTA,379082.0,5.65273281411766
327,SARATOGA AV,3,40.661466,-73.916316,MTA,376611.0,5.644471883249693
328,FULTON ST,G,40.68713,-73.975346,MTA,376609.0,5.64446517501503
329,LORIMER ST,JM,40.703855,-73.947387,MTA,375791.0,5.641718515780679
330,NEW LOTS,L,40.658748,-73.899472,MTA,375430.0,5.640504457293559
331,CRESCENT ST,JZ,40.683209,-73.873765,MTA,375423.0,5.640480904457259
332,SMITH-9 ST,FG,40.673714,-73.996139,MTA,369910.0,5.621793643232284
333,JACKSON AV,25,40.816505,-73.907797,MTA,366551.0,5.610270701761064
334,E 149 ST,6,40.812104,-73.904085,MTA,365124.0,5.605343431302354
335,233 ST,25,40.893386,-73.857265,MTA,361688.0,5.593399854808793
336,WILSON AV,L,40.688676,-73.903999,MTA,360080.0,5.587771399353056
337,BERGEN ST,23,40.680801,-73.975132,MTA,355668.0,5.572198088400505
338,KINGS HWY,F,40.603234,-73.972342,MTA,352238.0,5.559956944049661
339,9TH STREET,1,40.734278,-73.998764,PATH,351183.0,5.556167831115905
340,BROADWAY,NQW,40.761959,-73.925382,MTA,351142.0,5.556020346805041
341,BRIARWOOD,EF,40.709174,-73.820593,MTA,350573.0,5.553971772621885
342,KINGSTON AV,3,40.669409,-73.942173,MTA,350099.0,5.552262687320639
343,BOWERY,JZ,40.720315,-73.994014,MTA,343410.0,5.527894531884182
344,ROCKAWAY AV,3,40.662541,-73.908763,MTA,341166.0,5.519613149608926
345,CLINTON-WASH AV,G,40.688123,-73.966742,MTA,339647.0,5.513976373975467
346,OCEAN PKWY,Q,40.576298,-73.968523,MTA,333446.0,5.4907008729455695
347,WOODHAVEN BLVD,JZ,40.693866,-73.851568,MTA,330244.0,5.478512113190264
348,80 ST,A,40.679369,-73.85896,MTA,329612.0,5.476092376359408
349,BROADWAY,G,40.7061,-73.950348,MTA,326320.0,5.463412799862467
350,238 ST,1,40.884821,-73.900759,MTA,325390.0,5.459807603266943
351,EASTCHSTER/DYRE,5,40.888244,-73.83085,MTA,324914.0,5.457958374252826
352,SUTPHIN BLVD,F,40.705416,-73.810562,MTA,322190.0,5.447323418727949
353,RIT-MANHATTAN,R,40.761268,-73.964016,MTA,321367.0,5.4440925958661905
354,BEVERLY RD,25,40.645089,-73.948975,MTA,320996.0,5.442633467386921
355,FREEMAN ST,25,40.829966,-73.891876,MTA,318888.0,5.434310637451506
356,ST LAWRENCE AV,6,40.8315,-73.867623,MTA,312769.0,5.409836194302851
357,RIT-ROOSEVELT,R,40.7574,-73.954006,MTA,308732.0,5.393425644947407
358,PENNSYLVANIA AV,3,40.664884,-73.894258,MTA,305466.0,5.379991439990149
359,HARLEM 148 ST,3,40.823877,-73.936443,MTA,305425.0,5.379821881233077
360,W 8 ST-AQUARIUM,FQ,40.576152,-73.975925,MTA,304757.0,5.37705610310548
361,NOSTRAND AV,3,40.669735,-73.950455,MTA,303134.0,5.370310917072286
362,SUTTER AV,L,40.669376,-73.902047,MTA,300666.0,5.359984383549719
